iter	Passed	Remaining
475	651	717
476	652	715
477	653	713
478	654	711
479	655	709
480	656	708
481	657	706
482	660	707
483	661	705
484	662	703
485	663	701
486	664	700
487	665	698
488	666	696
489	667	694
490	668	692
491	668	690
492	669	688
493	670	686
494	671	685
495	673	683
496	674	682
497	675	681
498	677	679
499	678	678
500	679	676
501	680	674
502	681	673
503	682	671
504	683	669
505	683	667
506	684	665
507	685	663
508	689	664
509	692	665
510	693	663
511	694	662
512	695	660
513	696	658
514	697	657
515	698	655
516	699	653
517	700	651
518	701	650
519	702	648
520	706	649
521	708	648
522	708	646
523	709	644
524	710	642
525	711	641
526	712	639
527	713	637
528	714	635
529	715	634
530	716	632
531	717	631
532	719	630
533	721	629
534	722	627
535	723	626
536	724	624
537	724	622
538	725	620
539	726	619
540	727	617
541	728	615
542	729	613
543	730	612
544	731	610
545	732	609
546	733	607
547	734	606
548	736	604
549	737	603
550	738	601
551	739	599
552	740	598
553	741	596
554	742	595
555	743	593
556	745	592
557	748	592
558	750	591
559	751	590
560	752	588
561	753	586
562	753	585
563	754	583
564	755	581
565	756	580
566	757	578
567	758	576
568	758	574
569	760	573
570	762	572
571	763	571
572	764	569
573	765	568
574	766	566
575	767	565
576	768	563
577	769	562
578	770	560
579	771	558
580	772	557
581	773	555
582	775	554
583	776	553
584	777	551
585	779	550
586	780	548
587	781	547
588	781	545
589	782	543
590	783	542
591	784	540
592	785	538
593	785	537
594	786	535
595	787	533
596	788	532
597	789	530
598	790	529
599	791	527
600	792	525
601	793	524
602	793	522
603	794	521
604	795	519
605	796	517
606	797	516
607	798	514
608	798	512
609	799	511
610	800	509
611	801	508
612	802	506
613	803	505
614	804	503
615	806	502
616	807	501
617	808	499
618	809	498
619	810	496
620	810	494
621	811	493
622	812	491
623	813	490
624	814	488
625	815	486
626	816	485
627	816	483
628	817	482
629	819	481
630	822	480
631	823	479
632	825	478
633	826	477
634	827	475
635	828	473
636	828	472
637	829	470
638	830	469
639	831	467
640	832	466
641	834	465
642	835	463
643	836	462
644	837	460
645	838	459
646	839	457
647	840	456
648	841	455
649	842	453
650	843	452
651	844	450
652	845	449
653	845	447
654	846	446
655	847	444
656	849	443
657	850	441
658	851	440
659	852	439
660	853	437
661	854	436
662	855	434
663	856	433
664	857	432
665	858	430
666	859	429
667	860	427
668	861	426
669	862	425
670	864	423
671	865	422
672	866	421
673	867	419
674	869	418
675	870	417
676	871	415
677	873	414
678	874	413
679	875	412
680	877	410
681	878	409
682	880	408
683	881	407
684	885	407
685	886	405
686	888	404
687	890	403
688	892	402
689	894	402
690	896	401
691	898	400
692	900	398
693	901	397
694	903	396
695	904	394
696	906	393
697	913	395
698	914	393
699	919	394
700	922	393
701	924	392
702	925	391
703	927	389
704	929	388
705	936	389
706	937	388
707	938	387
708	940	385
709	941	384
710	942	382
711	943	381
712	944	379
713	944	378
714	946	377
715	948	376
716	951	375
717	952	374
718	953	372
719	954	371
720	955	369
721	956	368
722	957	366
723	958	365
724	960	364
725	961	362
726	964	362
727	966	361
728	967	359
729	968	358
730	969	356
731	970	355
732	971	353
733	971	352
734	972	350
735	973	349
736	974	347
737	976	346
738	978	345
739	980	344
740	982	343
741	984	342
742	987	341
743	989	340
744	990	339
745	991	337
746	992	336
747	994	334
748	995	333
749	997	332
750	998	331
751	1003	331
752	1007	330
753	1009	329
754	1010	327
755	1011	326
756	1012	325
757	1013	323
758	1015	322
759	1017	321
760	1019	320
761	1020	318
762	1021	317
763	1022	315
764	1023	314
765	1024	312
766	1025	311
767	1025	309
768	1026	308
769	1027	306
770	1030	305
771	1031	304
772	1034	303
773	1035	302
774	1036	300
775	1037	299
776	1038	297
777	1039	296
778	1040	295
779	1040	293
780	1041	292
781	1043	290
782	1044	289
783	1046	288
784	1047	286
785	1048	285
786	1049	284
787	1050	282
788	1051	281
789	1052	279
790	1053	278
791	1054	276
792	1054	275
793	1055	273
794	1056	272
795	1057	271
796	1058	269
797	1060	268
798	1061	266
799	1062	265
800	1063	264
801	1064	262
802	1065	261
803	1065	259
804	1066	258
805	1067	257
806	1068	255
807	1069	254
808	1070	252
809	1071	251
810	1072	249
811	1073	248
812	1074	247
813	1075	245
814	1076	244
815	1078	243
816	1078	241
817	1079	240
818	1080	238
819	1081	237
820	1082	235
821	1082	234
822	1083	233
823	1084	231
824	1085	230
825	1086	228
826	1087	227
827	1088	226
828	1089	224
829	1090	223
830	1091	221
831	1092	220
832	1093	219
833	1094	217
834	1095	216
835	1096	215
836	1097	213
837	1097	212
838	1098	210
839	1099	209
840	1100	208
841	1101	206
842	1102	205
843	1103	203
844	1104	202
845	1105	201
846	1108	200
847	1109	198
848	1110	197
849	1111	196
850	1112	194
851	1113	193
852	1113	191
853	1114	190
854	1115	189
855	1116	187
856	1117	186
857	1118	185
858	1119	183
859	1120	182
860	1121	181
861	1122	179
862	1123	178
863	1124	176
864	1124	175
865	1125	174
866	1126	172
867	1127	171
868	1128	170
869	1128	168
870	1129	167
871	1130	165
872	1131	164
873	1132	163
874	1133	161
875	1134	160
876	1135	159
877	1136	157
878	1137	156
879	1138	155
880	1139	153
881	1140	152
882	1141	151
883	1141	149
884	1142	148
885	1143	147
886	1144	145
887	1144	144
888	1145	143
